name,content,stars,upvote,time,location
同志亦凡人中文站,看“西比勒”就觉得导演被低估了，结果这次直接拿了金棕榈！详实到身临其境的法庭戏，以一桩死亡事件的冷峻剖析，戳开婚姻生活的层层面纱。虚虚实实、正反交织的证据迷宫，让观众直到最后依然只看到判决看不到真相，导演的冷静掌控力让人拍案叫绝。世界上不存在完美的受害者，也不存在完美的嫌疑犯。如何在法庭上证明不恨一个人，足以成为恐婚的又一理由…,4,1967,2023/7/19,新西兰
红酒与谋杀,完全不同于《圣奥梅尔》那种“坐牢电影”，后者庭审戏的问题在于导演的拍法与演员表演的两重无效性，且从未产生过“活动”的对话。而本片几乎是一部战斗宣言电影，特别是中后段当它以法庭正剧的姿态介入，语言主权的较量，社会泛文本的内在对抗，情感生产方式的重新评估等等，当自己的生活被他人拿着放大镜检视时，我们需要为自己而战，给自己一个交代。在桑德拉惠勒英法口语的逐次切换中勾勒出一个不断被迫接收外界信息刺激并作出即时反馈的、愈加真实的人，在语调、气息、台词的轻重层次等多个方面达到了一种鲜有的水准，相比之下《圣奥梅尔》在表演层面就是个笑话。看到目前为止本届最好的表演只属于桑德拉惠勒，请把影后直接给她！,4,761,2023/5/24,英国
伍月,【A】至少是十年来最好的金棕榈，感觉有一种神奇的引力充斥全片，包罗万象。本来以为就这样了，结果一直一直到第80分钟才显露锋芒，风云突变，一场可能是看过最好的吵架戏，将之前的绵里藏针全部爆发：庭审戏也从此如狂风骤雨般摧枯拉朽，语言节奏成为利器，在强大把控之下提供着压迫感与窒息感。感觉像是浪漫主义的杨德昌，写意与写实的有机结合，明明充斥的都是浅焦与柔美的打光，显然有对生活场景浪漫化的意图（甚至那场震撼的吵架戏也是这么拍的），实际却是一次冷酷无比的剖析式写作，对anatomie一词的完美呈现。绝大部分导演拍手术刀效果都选择竭力剔除情感，特里叶却选择饱含深情、充满激情的讲述。可能这就是来自女性导演之不同。,5,2831,2023/5/28,法国
St.Nicole,“没有真相，只有阐述” — 尼采,5,2338,2023/11/4,广东
phoebe,没想象的好看。台词虽然精彩但也太悬浮了吧，完全为主题服务，人人口才超越美国总统。哪个十一岁的孩子会这样讲话啊？,3,190,2023/10/16,美国
十二辰子,由死亡引发的婚姻剖析和自我解读，一遍遍揭露的生活的隐痛。剧本太好，太完整了，需要细细品味。西比勒就是被低估的一部，但相比之下确实掌控力没有这部那么强。金棕榈值得！,5,1873,2023/5/22,法国
healer,桑德拉唯一的罪名就是在她丈夫失败的领域获得了成功。  你们强逼她在公众面前打碎自己，却反过来以救世主的名义宽恕她。肮脏的男权步步紧逼，女性的智慧愈发理性。桑德拉牛逼，连吵架都这么有条不紊，逻辑清晰，她丈夫仅仅是个无能狂怒的雄性，而法庭上却充斥着他如此大量的复刻品。,5,1957,2023/12/11,湖北
摇曳的花丛,当Sandra和帅哥律师打了胜诉，如释重负地笑着从法院里走出来的时候，导演刻意给周围一切都按下了静音键，只留下帅哥律师那几声笑在空气中回响，通过电视机抵达至Daniel耳中。此时，画面里是Daniel悲伤的脸。夫妻之间可以是爱人，可以是敌人，会因为一方胜过另一方而产生一丝短暂的快乐；但孩子没有，他只有悲伤，他是这场漫长的争斗中最持久的受伤者。,5,1662,2023/10/21,北京
撒野,好用力才能赢，但赢了也只是不输而已，没有奖励。,5,1673,2023/11/5,北京
桃子和睦,没有完成母职的母亲依旧是母亲，在涉及孩子的话题爆发仅有的两次咆哮。而当丈夫承担了传统母职后，他选择自杀🤣,5,1513,2024/3/29,湖南
不忘,挺好看的，很慢，慢慢就看进去了。整部电影的高潮部分在小男孩再次决定出庭的那一段，他说了一句话“如果让我想象这是妈妈做的，我找不到理由，但如果想象是爸爸自己造成的，觉得更合理”，以及他在法庭上说的那次他和爸爸在车上的聊天，他爸爸说你要习惯狗总有一天会离开，他说他现在才明白，他爸爸说的不是狗，是自己。还有就是他不知道怎么说的时候，那个社工说的话，是的，两个面向都有可能，但你要做出你的选择。另一个我自己很喜欢的片段是录音那段，很直观地展示出了关系的复杂性，每个人都有自己的感受，每个人的点都是不一样的，根本没法评判。,4,944,2023/10/15,辽宁
momo酱,这是一部陈铭和董强永远也无法看懂的电影。,5,1342,2024/3/25,浙江
peacefish,人坏 狗好 首先狗没那么多敏感负面的情绪 其次狗是一个家里唯一只给所有其他成员输出正面情绪价值的生物,5,1186,2023/11/19,湖北
shininglove,如果夫妻俩都是文科自由职业者，擅长逃避生活，无法适应社会，自诩清高，姿态优越，关起门过小日子，最终很容易演变成利益之争，为了婚姻健康存续，至少有一个人坚持上班，拿五险一金。,4,670,2023/12/29,海南
咯咯精,Brilliant brilliant writing! 金棕榈给这部需要勇气但是值得。没有人的生活禁得起这样的审视检察。有好多段对话在我自己的生活中真实上演，precisely!不疑有他，所以全程一直在纳闷怎么会有人选择PIMP作为最后的背景音乐😂以及Jehnny Beth女士是彻底弃音乐选择演艺了吗……（（戛纳之后二刷加两句：所以我们知道了，他不死可能这段婚姻也死了。所以我们知道了，这是最温柔不过的，相信人是很善的，爱是很真的，生活是非常非常不简单的。,5,872,2023/5/22,德国
Eros,下次请把悬疑惊悚犯罪几个标签拿掉，改成文艺情感好吗……请问惊悚在哪儿，确实尤其是东亚结婚是蛮惊悚的事情，但是我放假不是为了来看令人头疼的婚姻生活的。和把科幻放进标签的宇宙探索编辑部有什么两样啊，请又臭又长的文艺片回到原本的位置上好吗？,2,440,2023/10/15,江苏
智者看人跳河,要男的承担传统女性在家庭中的角色，他就受不了要跳楼了。,5,1082,2024/3/28,四川
孤品塑鸟袋,我们老钟人在任何电影里都是厨子。,5,734,2024/3/30,四川
啊牧amua,可能我不一样 我想知道到底是他杀还是自杀…,3,213,2023/11/30,江苏
三点少,只能说龙生龙凤生凤，倆作家的儿子脑子明白说得清。在看似破案和法庭的辩论中，作为女性被引发的是对自身价值的思考：如果可以不分时间不挑环境地工作，还能成功完成三本书；生了儿子，还能随夫一起适应逆境，在异国他乡的穷地方忍受孤僻冷清………自己都该敬重自己还骄傲地叉个腰了！可是，公诉人和一众专家在抓住出轨和吵架的线索后，还在指责……就像大家都更希望妻子只需要是个“会向所有朋友笑的傻妞”,5,816,2023/10/16,北京
晓东,好像讲了很多道理，但是我感觉毫无意义。,3,120,2023/11/14,江西
烤芬,可惜录「作为翻译的女性，作为女性的翻译」那期时还没看本片，它如此完美地展现了我们想表达的东西，简直就是部女性主义翻译理论电影！这部和《分手的决心》都刻画了“语言不通”的女性，或者说通过展现“被迫用非母语自证清白”的过程中面对的种种暴力来明示一种普遍的女性处境。当然这部比朴赞郁走的远得多，比起将（使用丝滑翻译软件的）外来女性作为蛇蝎美人的窠臼，本片大量描写狭义和广义的翻译与性别问题：夫妻二人对使用英语到底是对方地盘还是中间地带的认知差异，源于女性早已习惯“自我翻译”，无论在公私领域、亲密关系、法庭还是文学，女性没有母语正如女性没有祖国，她必须精通“他”人的语言以表达自己；丈夫无法成为作家，可能只是因为他还未成为也不愿变成一位娴熟的“翻译”。视听总体很克制，几处视障男孩的“视”点镜头却颇有巧思。,5,548,2023/11/11,日本
宋夕,世界破破烂烂，小狗缝缝补补。,5,626,2024/1/10,德国
Peter Cat,3.5，以一种悬疑探案的进路来解剖婚姻生活，但悬疑和家庭两部分互为牵制，都有些力所不逮。孩子最终的落点给予了一种文学化的纾解，再次确认了我对特里叶喜爱，但对于这部电影野心，又还远远不够。,3,112,2023/5/22,法国
Ithaka,男孩和Marge走在雪地里，Marge眼神里带着怜悯，告诉他：人们有时只能发现零星的线索，这些证据获得不了真相，然而我们必须选择一个真相来相信。男孩此时尚未意识到这句话有多么沉重，他问：意思是我需要在法庭上假装（pretend）相信妈妈不是杀人凶手吗。Marge纠正了他：不是假装，是决定（decide）。这句话道出了比寻找真相（truth）更加动人的力量。妈妈，我不知道你是不是凶手，但我选择相信你的清白。片尾的故事里，画面是父亲，可声音却是男孩的嗓音，这或许是在暗示这个故事来源于男孩的虚构。可是这些都不重要了。影片最终悬停在一个真相不明的地方，一个理智无论如何从无法进入的地方，细腻地挖掘到一种决绝的、宽慰的、毛骨悚然的温情。这是一种奇异的感觉：妈妈和孩子拥抱在冬夜的木屋里，父亲坠亡在窗外。,5,551,2023/10/28,北京
谢飞导演,今年戛纳电影节最佳、又刚刚被金球奖最佳影片及最佳外语片双提名，吸引我找来了观赏；确实很好看！年近50的法国女导演将婚姻、生活的复杂，人性、感情的丰富把握得头头是道、稳重深入，各方面都值得夸奖。比起老马丁的《花月杀手》更胜一筹。推荐！,5,273,2024/1/6,北京
小野山,很难说有什么特别新鲜的东西，唯一的结论是如果写不出小说就别写了，丈夫最垃圾的地方是他其实过着一种想象的文学的生活，并且混淆了两者之间的关系，当他搞什么projet把自己生活的片段录下来（在当事人不知情的情况下）发给编辑的时候，就注定了他是个失败者。,3,64,2024/3/25,江苏
顗礼,#FNC# 野心奇大，以至于在一定程度上影响了解剖的精准性，但叙述系统的包容性惊人。特利叶在片中给出了一种可供参考的剖析方法，即进入当事人及其他相关人的不同视角，对同一件事物进行或冷观或情感驱动或带有预设立场的“解剖”，按照影像之外的评述逻辑就是，创作者有足够的信心去迎接来自观者千奇百怪的解读角度，非法语母语者将切身感受到女主角作为外国人所面临的语言/文化冲击，背后所指向的或许是一种对法国人之傲慢的讽刺，甚至可以被上升为是对法国横截面的展示，而这种表达恰恰来自于特里叶这位法国知识分子；进入婚姻关系的人将重新思考母职惩罚与相对应的“父职惩罚”究竟意味着什么，而创作者也能重新考量媒介与生活的供需关系究竟会在多大程度上导致它们互相左右；换句话说，无论是否共情，人们都能在片中找寻到值得被解剖的时刻。,4,514,2023/10/10,加拿大
饿霸地煮,人的悲剧在于作为社会动物，唯一的武器、拐杖和护城河都是语言，我们看到这个电影似乎是对于真相的探讨，但实际上是在对依靠语言有限性的人类的探讨。几乎没有一场语言的对抗不是精心设计的对抗，包括法庭攻防，包括那场精心布局的录音，每句话每个标签每个定义都要厮杀。法语，人类最精确的语言，依然在厮杀中塑造出了截然相反的真实世界。人类本身的孱弱，因为语言的阐释而愈发鲜明。直到男孩记忆里父亲的一句话，语言竟然因为某种暧昧模糊的真实感而获胜。可见人类的孱弱，连对实在世界的定义都很难把握，都会被定义本身反噬，都要靠新的定义来救赎。人类是活在自我定义和被定义之间一大堆虚火旺盛的词汇量里，无比渺小脆弱。,4,591,2023/10/16,上海
olvv,克制，严实，狂暴，迄今为止看过最好的主竞赛，厉害的作品在于能够收敛，Sandra就是一柄美丽的金器，把自己的刃面藏起来了，一定要给她影后！！！,5,518,2023/5/22,法国
慢不下来的G,咱Alpha女不过是犯了全天下男人都会犯的错。,4,719,2024/3/27,江苏
手抓蛋,你早说这是婚姻的审判，我就不一定来看了,3,82,2024/3/30,重庆
无系舟,真是只有女导演才能拍的故事（褒义）。不然结尾她俩肯定得上床。,5,500,2024/4/2,河北
z.r.j.,这电影从内容到时长都给我一种疲惫感。你也不知道谁有错，你也不知道把生活中的无力感该归罪于谁，因为大家可能都没有错，但婚姻生活就是一团糟。电影将性别进行倒置，原本一般在现实生活中迁就的女性转换立场，扮演了主外、强势的一方，结论就是，没有人能够在无法实现自身价值的情况下保持理性不发疯。结婚于人于己都不是一个正确的选择，退一万步讲，结了婚也千万不要要小孩，有了小孩后必定有一方需要作出牺牲，这一方可能是父母中的一人，也有可能是小孩。看完电影最心疼的就是丹尼尔。当大人好累啊，当小孩好累啊，当有主人的狗（指两次吃了阿斯匹林后洗胃） 也好累啊，地球什么时候毁灭……,3,110,2024/3/29,湖北
yuan,当一个男的体验到女性的处境，无法兼顾工作与家庭，事业发展又不如伴侣的时候，他就崩溃了。,5,477,2024/3/30,浙江
蓝河的风儿,这不就是《回响》竭尽全力渴求实现的艺术创造嘛，悬疑案件mix婚姻剖析。茹斯汀力透纸背的剧本完全配得上金棕榈，也把老黄男闭门造车的IP秒得渣渣都不剩。《坠楼死亡的剖析》以丰富亦清爽的镜头语言、极具张力的法庭戏剧作完全征服了所有人。它通俗而不失艺术力道，有类型元素却完全不落入窠臼，兼具文学性的深度与故事上的锋利/温柔。法庭对峙中激烈的博弈完全就是一种现实描述主权的争夺，夫妻之间作家身份的设计也突显了这一点。丈夫创作力枯竭，妻子却能拾起残骸化腐朽为神奇；丈夫试图改变生活但失败，妻子却在挫折中获得新的爱与激情；法庭上男检察官咄咄逼人，妻子再次以她的叙述让自己翻盘获胜。多层次交叠下，明明是法庭戏，本片传达给观众的却不是对错与善恶，而是一种态度，一种姿态。倒也与性别无关，总之看完真的让人觉得如获新生。,5,363,2023/10/12,浙江
荞麦,女主角的每次发言都非常棒，很清楚地在解释生活与创作的关系，婚姻关系的复杂与无法定义。,5,428,2023/12/11,江苏
王写写,并不如大家说的那样精彩。首先这种婚姻故事真的是翻来覆去被拍烂了，本片顶多是加了个丈夫坠楼身亡的奇情引子；其次影片远远没有表达出对婚姻关系里最幽微最深切的本质，那种缠绕着快乐与怨念、圆滑与尖锐、宣泄与忍耐等各种既对立又统一的本质；再次我认为面对现实已经走入婚姻多年的人来说，影片也没有充分做到将主人公家庭问题的特殊性延展融化在世俗生活的普遍性之中，因而与我们仍会保持距离感，乃至显得缺乏新意，老调重弹。能感知到影片最着力的题眼在于那场回忆段落里的争吵，主要还是就丈夫的时间问题和事业态度问题爆发的，顺带翻翻出轨之类的旧账。是拍的是挺真实，但打击面还是太窄，且他们婚姻出现问题根源，是由于孩子车祸这样的极端事件，因此我们终归像是在看他们的故事，却很难将其提炼到自己的生活。,3,99,2023/10/26,北京
九苍,这大概是金棕榈历史上最笨最没追求的获奖片。格局视野为零，艺术进取心为零，智慧为零，电影技术手段创新为零。只有中产阶级装腔作势的娇饰和满腹牢骚。很难想象一个合格的选片和评审机制会把Victor Erice挡在主竞赛之外，让这样的片长驱直入。戛纳是一个粪香四溢的电影节，2024年只会更甚。,2,227,2023/12/29,加拿大
Coyotells,生活组和劝分组逛多了之后觉得这样的故事真的还有拍出来的必要么,3,92,2024/3/27,浙江
奇爱博士,把片中丈夫和妻子权力位置互换，不过是我们习以为常的稀松日常。,5,338,2024/3/26,北京
哪吒男,家庭片划时代之作，人与人走得太近，产生的暴力竟会如此摧枯拉朽。有一刻我甚至以为女主角会说“算了，就是我杀了他，这一切赶紧他妈的结束吧”。但是她没有，她绝不屈服，她丈夫要是知道了，恨不得再死一次。,4,390,2023/12/19,安徽
K、,狗吃掉了人的呕吐物，陪审团吃掉了婚姻的呕吐物。,5,403,2024/3/31,广东
单眼皮🦊,庭审插叙的吵架很绝，丈夫控诉的境况是千百年来女性一直承受且整个社会都习以为常的，但对丈夫来说这是不堪忍受到要自杀的,5,353,2024/3/30,浙江
鳐.,个人觉得这种题材好过时，到底有什么在21世纪需要被拍出来还获奖的意义呢,3,73,2023/7/2,英国
思颖sine,这部和《枯叶》开一部金棕榈吧，太有力量，后劲无穷。讲故事能力极强，节奏舒适，一点都不着急，视听很有风格，大量推镜头去强调人物反应。抽丝剥茧的真相揭开和硬核庭审的刑侦推理，包含犯罪动机、现场还原等，是真的拿着图纸来推理分析。表面故事蕴藏的深层情感也是无可挑剔的，往常庭审类型都会以宣扬法律“疑罪从无”为主题，但这部并不是。当儿子口供翻案，母亲得以回归的时候感受到了一种回归的释然。好像不论这个案件真相到底如何，家人还能依靠在一起，就是最美好的事情了。btw狗狗snoopy演技也太好了吧！！！！,5,233,2023/5/27,法国
୧⍤⃝🐷,电影里的性别形象很有意思，除了法国张震外其他男人都在绞尽脑汁想把女巫推上绞刑架，而女人们总是在思考。,5,288,2024/3/29,江苏
serney,在社会生活和家庭生活之中，我们要如何审判一段关系的公平和正义。爱不能决定一切啊，但是也只有爱才能回应。,5,218,2023/10/19,广东
阿嚏,这就是男权社会对男人的迫害，让他承认比自己另一半弱一点，就是要他命。,5,298,2024/3/28,浙江
frozenmoon,控制精准，尤其有一种看起来松弛，但实际上处处显露出精确拿捏和设计的分寸感。台词密集甚至过于密集了，但也并不扰人。但这电影探讨的主旨，比如亲密关系下的冷酷、时间磨损后的厌倦、被打扮和隐藏的真相，等等，所有这些明的以及还有那些暗的，都并不新鲜，甚至也没有“翻新”。也许因为年至中年，随便看看身边，所能看见的一切灰度之下的生活就足以比电影更加震撼和令人长叹，所以对于电影本身感觉有点过淡了。觉得最好的部分还是法院派去的监督员和孩子的对话。监督员说，证据不足的情况下，人们只能做选择。孩子说，也就是说我们要发明出一套你自己相信的东西。,4,302,2023/10/18,北京
熊阿姨,「这是关于一个人想象他的生活将会怎样，如果没有那场害死他哥哥的事故。他醒来，发现自己处于两个不同的现实中，一方面，事故是他生活的中心，在另一种情况下它从未发生过。」法庭上讲的这段文学设定也是电影故事的核心，如果没有坠楼的事故，如果没有孩子的车祸，如果没有婚姻中的争吵，如果没有这段婚姻……陷入长期的泥淖时人总会想「如果没有」的问题，并在想象、在视频、录音、陈述、供述、心理咨询中一遍一遍重塑一段事实。电影会拍一个判决的结果但生活中无。,4,171,2024/1/24,北京
驰生武,录音吵架的那一段完美呈现女性是一种处境,5,302,2024/3/29,江苏
Fleurs.哼哼,狗狗是哈士奇和边牧的串儿，正如小男孩是德国和法国的混血，亦如男人和女人的结合，最后是混沌的一地鸡毛和一场事先张扬的“谋杀”，轻若鸿毛重于陨石般坠落到白茫茫一片大地绽放出血色的结局……,4,273,2023/10/14,河南
TWY,如果说特里耶的作品中存在着什么坚定，那是因为她明白，我们看到的只可能是一本小说，这些小说的危险在于其中真实的诱惑，快速的坠楼我们什么也看不到，而它重新建构出一种微妙地向下倾斜着的螺旋管道，在重力——也就是无法避免的终结的指引下，她的人物获得解放，通过这条狭小的、危险的管道滑落，让那些被割破的血淋淋缓缓流向远处，如果只有这样才能将绝大多数的自己予以保存呢？我们无法真的吃透他们的生活，正如我们不会真的“理解”一条小狗。,4,174,2023/10/12,浙江
昨日我是月亮,“当你习惯了特权，平等对你来说就是压迫”,5,252,2024/4/3,北京
CeCi,好棒。情感关系中微妙的残忍，男性虚荣而无能的伪装，女性在世俗视角下艰难的处境，在各种版本的真实中的摇摆都拿捏得很精准。女主演技太好了，那场争吵，能够不被男性的受害者逻辑拖下水，果断而准确地反驳每一个痛点，简直是女性之光，看得人忍不住要鼓掌。,5,283,2024/1/25,北京
寒枝雀静,Ａ／近几部法庭电影中拆解得最彻底的一部，也是最沉着最克制的一部。不仅是指明法庭本身的虚构，更是要将电影化的过程浸透到证据的追索、构建与宣示中。在不断被杂多的媒介遮蔽的喧哗中，给予（半）失明者潜在的目视，用动物的面容与目光拟仿出更真实的排演，并最终将声音与剪辑的权力给予之。,5,136,2023/10/1,法国
小闻端倪,她最大的罪，不过是在他失败的领域，成功了而已。,5,266,2024/3/27,福建
低级趣味,真正“属于”新左派的电影，作为观众的凝视被彻底推翻，让人无条件献出情感的重量。特里叶在新世纪找到了最普遍也是最私密的抗争方式：一种生活化日常的复现剖析，身份权力的斡旋，政治话语的剧变——都通过了婚姻两性，社会法律的对立冲突得到了重新编排，它是现代体系的日渐崩溃的象征，亦是人类欲望外化的方式，也是彼此看到了生命荒芜的样貌却苦于找不到语言对话的方式。以庭审战斗的姿态进入每个情景找到民主的影像编排，无论何时，影像都始终坚定站在角色一边向未知的戏剧宣战（这同样也是一场关于虚假与真实的战争）。我们可以从中窥见过去人们脸上无谓的失落与微弱的憧憬，而片中的儿子Daniel就是串联起过去与现在的关键，他承受着上一代的恶果，却用失明的眼睛聆听着在场所有人，轻轻抚慰着我们说：“我现在已经见到了爱和孤独的样子。”,5,174,2023/10/13,山东
黄青蕉,灰毛+瘦高真是男人的新医美，Swan Arlaud这小脸跟只名贵品种猫一样好多次看得身心愉悦都听不到他在说啥,4,190,2024/3/19,北京
知心姐姐卢先生,1、每个男人其实都可以理解为萨穆埃尔（的放大或缩小版）。2、桑德拉从头到尾没说过一句她的母语德语。,5,178,2024/3/31,广东
Marutvat,父亲是法国人，母亲是德国人，他们选择英语作为家庭的通用语言，在家庭中进行辩论，培养后代的语言能力，使他们的语言脱离其民族根源。随着下一代逐渐成为似乎脱离了原籍国的欧洲公民，流利的英语成了他们的固有特质，但却与英国没有任何联系。这一语言微观世界的错综复杂反映了欧洲的大环境，在全球化的世界里，各国都在努力寻求身份认同。因此，英国脱离欧盟的决定在这种家庭式的语言选择中找到了一种奇特的共鸣，概括了语言、身份和隶属关系中微妙的复杂性，这几乎是恰如其分的。,2,169,2023/8/13,澳大利亚
撑洋伞的Mr.,站在妻子的角度看，丈夫只是沉浸在自己的痛苦中，将失败与痛苦都归咎于妻子了，站在丈夫角度看，自己也无法从妻子那得到安慰和肯定，自己的情绪得到的回应也是冷漠的。如果将婚姻中的双方放到天平中反复衡量，是永远达不到平稳的。当婚姻面临审判，爱情就会经不住考验，人们看到的都只是婚姻生活中的一隅，然后据此将矛盾无限放大，而作为“夫妻”的这一整体就被抹杀掉了，最后只剩下结论。检察官一开始就预设了立场（律师也是如此），最后说小男孩的证词太主观，但他自己根据女主小说的推论不也是主观的吗？影片中证人的证词看到的都只是女主婚姻关系中的某个片段，从而产生自己的臆测，争吵就变成了杀人预告。影片台词锋利而又尖锐，辩论部分直至核心和痛点。,5,156,2023/10/31,安徽
别针,人们不相信男性的脆弱 不相信女性的成功,5,152,2024/4/11,上海
那猫那狗,我喜欢这个女主，拥有强大的情绪控制力、逻辑思维，富有创造力，在自己的领域里取得卓越成就，在被巨婴丈夫pua的时候也丝毫不会质疑自己，在被法庭上的光头男咄咄逼人的时候也不会变成受害者心态。尽管有这么稳定的内核，但还是会因为被儿子怀疑而哭泣，很真实的一位女性形象。,5,206,2024/3/30,广东
